ICDNames,ICDCode
Injury of eye or orbit,NA06
Eyelid trauma,NA06.0
Penetrating wound of orbit with or without foreign body,NA06.1
Retained foreign body following penetrating wound of orbit,NA06.2
Traumatic orbital haemorrhage,NA06.3
Injury of conjunctiva or corneal abrasion without mention of foreign body,NA06.4
Trauma to the iris sphincter,NA06.5
Traumatic injuries of the retina,NA06.6
Traumatic retinal haemorrhage,NA06.7
Traumatic injury to eyeball,NA06.8
Contusion of eyeball or orbital tissues,NA06.9
Injury of lens,NA06.A
Other specified injury of eye or orbit,NA06.Y
"Injury of eye or orbit, unspecified",NA06.Z
Intracranial injury,NA07
Concussion,NA07.0
Traumatic intracerebral haemorrhage,NA07.1
Traumatic cerebral oedema,NA07.2
Diffuse brain injury,NA07.3
Focal brain injury,NA07.4
Traumatic epidural haemorrhage,NA07.5
Traumatic subdural haemorrhage,NA07.6
Traumatic subarachnoid haemorrhage,NA07.7
Traumatic haemorrhage in brain tissue,NA07.8
Other specified intracranial injury,NA07.Y
"Intracranial injury, unspecified",NA07.Z
Crushing injury of head,NA08
Crushing injury of brain,NA08.0
Crushing injury of face,NA08.1
Crushing injury of skull,NA08.2
Crushed scalp,NA08.3
Other specified crushing injury of head,NA08.Y
"Crushing injury of head, unspecified",NA08.Z
Traumatic amputation of part of head,NA09
Avulsion of scalp,NA09.0
Traumatic amputation of ear,NA09.1
Traumatic amputation of nose,NA09.2
Traumatic amputation of lip,NA09.3
Other specified traumatic amputation of part of head,NA09.Y
"Traumatic amputation of part of head, unspecified",NA09.Z
Certain specified injuries of head,NA0A
Complex wounds to the head,NA0A.0
"Injury of muscle, fascia or tendon of head",NA0A.1
Traumatic rupture of ear drum,NA0A.2
Multiple injuries of head,NA0A.3
Other specified injuries of head,NA0A.Y
Injury of the auricle,NA0B
Injury of middle or inner ear,NA0C
Injury of teeth or supporting structures,NA0D
Injury of hard dental tissues and pulp,NA0D.0
Injury of periodontal tissues,NA0D.1
Other specified injury of teeth or supporting structures,NA0D.Y
"Injury of teeth or supporting structures, unspecified",NA0D.Z
"Injuries to the head, unspecified",NA0Z
Superficial injury of neck,NA20
Abrasion of throat,NA20.0
Contusion of throat,NA20.1
Other or unspecified superficial injuries of throat,NA20.2
Multiple superficial injuries of neck,NA20.3
Other specified superficial injury of neck,NA20.Y
"Superficial injury of neck, unspecified",NA20.Z
Open wound of neck,NA21
Laceration without foreign body of neck,NA21.0
Laceration with foreign body of neck,NA21.1
Puncture wound without foreign body of neck,NA21.2
Puncture wound with foreign body of neck,NA21.3
Open bite of neck,NA21.4
Multiple open wounds of neck,NA21.5
Other specified open wound of neck,NA21.Y
"Open wound of neck, unspecified",NA21.Z
Fracture of neck,NA22
Fracture of first cervical vertebra,NA22.0
Fracture of second cervical vertebra,NA22.1
Fracture of other specified cervical vertebra,NA22.2
Multiple fractures of cervical spine,NA22.3
"Fracture of neck, unspecified",NA22.Z
Dislocation or strain or sprain of joints or ligaments at neck level,NA23
Traumatic rupture of cervical intervertebral disc,NA23.0
Dislocation of cervical vertebra,NA23.1
Dislocation of other or unspecified parts of neck,NA23.2
Multiple dislocations of neck,NA23.3
Strain or sprain of cervical spine,NA23.4
Strain or sprain of thyroid region,NA23.5
Other specified dislocation or strain or sprain of joints or ligaments at neck level,NA23.Y
"Dislocation or strain or sprain of joints or ligaments at neck level, unspecified",NA23.Z
Concussion or oedema of cervical spinal cord,NA30
Certain specified injuries of cervical spinal cord,NA31
Complete lesion of cervical spinal cord,NA31.0
Central cord syndrome of cervical spinal cord,NA31.1
Anterior cord syndrome of cervical spinal cord,NA31.2
Posterior cord syndrome of cervical spinal cord,NA31.3
Brown-Sequard syndrome of cervical spinal cord,NA31.4
Other incomplete cord syndrome of cervical spinal cord,NA31.5
"Injury of cervical spinal cord, unspecified",NA3Z
Injury of nerve root of cervical spine,NA40
Injury of brachial plexus,NA41
Injury of brachial plexus cord,NA41.0
Injury of brachial plexus division,NA41.1
Injury of brachial plexus trunk,NA41.2
Other specified injury of brachial plexus,NA41.Y
"Injury of brachial plexus, unspecified",NA41.Z
Injury of peripheral nerves of neck,NA42
Injury of supraclavicular nerve,NA42.0
Injury to anterior cutaneous nerve of neck,NA42.1
Injury of other specified peripheral nerves of neck,NA42.Y
"Injury of peripheral nerves of neck, unspecified",NA42.Z
Injury of cervical sympathetic nerves,NA43
Injury of phrenic nerve,NA44
Injury of other specified nerves at neck level,NA4Y
"Injury of nerves at neck level, unspecified",NA4Z
Injury of blood vessels at neck level,NA60
Injury of carotid artery,NA60.0
Injury of vertebral artery,NA60.1
Injury of external jugular vein,NA60.2
Injury of internal jugular vein,NA60.3
Injury of multiple blood vessels at neck level,NA60.4
Injury of other specified blood vessels at neck level,NA60.Y
"Injury of blood vessels at neck level, unspecified",NA60.Z
"Injury of muscle, fascia or tendon at neck level",NA61
"Strain or sprain of muscle, fascia or tendon at neck level",NA61.0
"Laceration of muscle, fascia or tendon at neck level",NA61.1
"Other specified injury of muscle, fascia or tendon at neck level",NA61.Y
"Injury of muscle, fascia or tendon at neck level, unspecified",NA61.Z
Crushing injury of neck,NA62
Crushing injury of larynx or trachea,NA62.0
Crushing injury of other specified site of neck,NA62.Y
"Crushing injury of neck, unspecified",NA62.Z
Traumatic amputation at neck level,NA63
Multiple injuries of neck,NA64
Other specified injuries to the neck,NA6Y
"Injuries to the neck, unspecified",NA6Z
Superficial injury of thorax,NA80
Abrasion of breast,NA80.0
Contusion of breast,NA80.1
Other or unspecified superficial injuries of breast,NA80.2
Other superficial injuries of front wall of thorax,NA80.3
Other superficial injuries of back wall of thorax,NA80.4
Abrasion of thorax,NA80.5
Contusion of thorax,NA80.6
Multiple superficial injuries of thorax,NA80.7
Other specified superficial injury of thorax,NA80.Y
"Superficial injury of thorax, unspecified",NA80.Z
Open wound of thorax,NA81
Laceration without foreign body of thorax,NA81.0
Laceration with foreign body of thorax,NA81.1
Puncture wound without foreign body of thorax,NA81.2
Puncture wound with foreign body of thorax,NA81.3
Open bite of thorax,NA81.4
Multiple open wounds of thoracic wall,NA81.5
Other specified open wound of thorax,NA81.Y
"Open wound of thorax, unspecified",NA81.Z
"Fracture of rib, sternum or thoracic spine",NA82
Fracture of thoracic vertebra,NA82.0
Multiple fractures of thoracic spine,NA82.1
Fracture of sternum,NA82.2
Fracture of rib,NA82.3
Multiple fractures of ribs,NA82.4
Flail chest,NA82.5
"Other specified fracture of rib, sternum or thoracic spine",NA82.Y
"Fracture of rib, sternum or thoracic spine, unspecified",NA82.Z
Dislocation or strain or sprain of joints or ligaments of thorax,NA83
Traumatic rupture of thoracic intervertebral disc,NA83.0
Dislocation of thoracic vertebra,NA83.1
Dislocation of other or unspecified parts of thorax,NA83.2
Strain or sprain of ligaments of thoracic spine,NA83.3
Strain or sprain of ribs or sternum,NA83.4
Other specified dislocation or strain or sprain of joints or ligaments of thorax,NA83.Y
"Dislocation or strain or sprain of joints or ligaments of thorax, unspecified",NA83.Z
Concussion or oedema of thoracic spinal cord,NA90
Certain specified injuries of thoracic spinal cord,NA91
Complete lesion of thoracic spinal cord,NA91.0
Central cord syndrome of thoracic spinal cord,NA91.1
Anterior cord syndrome of thoracic spinal cord,NA91.2
Posterior cord syndrome of thoracic spinal cord,NA91.3
Brown-Sequard syndrome of thoracic spinal cord,NA91.4
Other incomplete cord syndrome of thoracic spinal cord,NA91.5
"Injury of thoracic spinal cord, unspecified",NA9Z
Injury of nerve root of thoracic spine,NB00
Injury of peripheral nerves of thorax,NB01
Injury of thoracic sympathetic nerves,NB02
Injury of other specified nerves at thorax level,NB0Y
Other specified injury of nerves or spinal cord at thorax level,NB2Y
"Injury of nerves or spinal cord at thorax level, unspecified",NB2Z
Injury of blood vessels of thorax,NB30
Injury of thoracic aorta,NB30.0
Injury of innominate or subclavian artery,NB30.1
Injury of superior vena cava,NB30.2
Injury of innominate or subclavian vein,NB30.3
Injury of pulmonary blood vessels,NB30.4
Injury of intercostal blood vessels,NB30.5
Injury of multiple blood vessels of thorax,NB30.6
Injury of other specified blood vessels of thorax,NB30.Y
Injury of unspecified blood vessels of thorax,NB30.Z
Injury of heart,NB31
Injury of heart with haemopericardium,NB31.0
Injury of heart without haemopericardium,NB31.1
"Injury of heart, unspecified without open wound into thoracic cavity",NB31.2
"Injury of heart, unspecified with open wound into thoracic cavity",NB31.3
Injury of heart valve,NB31.4
Other specified injury of heart,NB31.Y
"Injury of heart, unspecified",NB31.Z
Injury of other or unspecified intrathoracic organs,NB32
Traumatic pneumothorax,NB32.0
Traumatic haemothorax,NB32.1
Traumatic haemopneumothorax,NB32.2
Certain injuries of lung,NB32.3
Injury of bronchus,NB32.4
Injury of thoracic trachea,NB32.5
Injury of pleura,NB32.6
Multiple injuries of intrathoracic organs,NB32.7
Injury of other specified intrathoracic organs,NB32.8
Other specified injury of other or unspecified intrathoracic organs,NB32.Y
"Injury of other or unspecified intrathoracic organs, unspecified",NB32.Z
Crushing injury of thorax or traumatic amputation of part of thorax,NB33
Crushed chest,NB33.0
Traumatic amputation of breast,NB33.1
Traumatic amputation of other part of thorax,NB33.2
Other specified crushing injury of thorax or traumatic amputation of part of thorax,NB33.Y
"Crushing injury of thorax or traumatic amputation of part of thorax, unspecified",NB33.Z
"Injury of muscle, fascia or tendon at thorax level",NB34
"Strain or sprain of muscle, fascia or tendon at thorax level",NB34.0
"Laceration of muscle, fascia or tendon at thorax level",NB34.1
"Other specified injury of muscle, fascia or tendon at thorax level",NB34.Y
"Injury of muscle, fascia or tendon at thorax level, unspecified",NB34.Z
Multiple injuries of thorax,NB35
Other specified injuries to the thorax,NB3Y
"Injuries to the thorax, unspecified",NB3Z
"Superficial injury of abdomen, lower back or pelvis",NB50
Abrasion of lower back or pelvis,NB50.0
Contusion of lower back or pelvis,NB50.1
Abrasion of abdominal wall,NB50.2
Contusion of abdominal wall,NB50.3
Abrasion of external genital organs,NB50.4
Contusion of external genital organs,NB50.5
"Multiple superficial injuries of abdomen, lower back or pelvis",NB50.6
"Other specified superficial injury of abdomen, lower back or pelvis",NB50.Y
"Superficial injury of abdomen, lower back or pelvis, unspecified",NB50.Z
"Open wound of abdomen, lower back or pelvis",NB51
"Laceration without foreign body of abdomen, lower back or pelvis",NB51.0
"Laceration with foreign body of abdomen, lower back or pelvis",NB51.1
"Puncture wound without foreign body of abdomen, lower back or pelvis",NB51.2
"Puncture wound with foreign body of abdomen, lower back or pelvis",NB51.3
"Open bite of abdomen, lower back or pelvis",NB51.4
"Multiple open wounds of abdomen, lower back or pelvis",NB51.5
"Other specified open wound of abdomen, lower back or pelvis",NB51.Y
"Open wound of abdomen, lower back or pelvis, unspecified",NB51.Z
Fracture of lumbar spine or pelvis,NB52
Fracture of lumbar vertebra,NB52.0
Fracture of pelvic bone without disruption of posterior arch of pelvic ring,NB52.1
Fracture of the pelvic ring with incomplete disruption of posterior arch,NB52.2
Fracture of pelvic ring with complete disruption of posterior arch,NB52.3
Multiple fractures of lumbar spine or pelvis,NB52.4
Other specified fracture of lumbar spine or pelvis,NB52.Y
"Fracture of lumbar spine or pelvis, unspecified",NB52.Z
Dislocation or strain or sprain of joints or ligaments of lumbar spine or pelvis,NB53
Traumatic rupture of lumbar intervertebral disc,NB53.0
Dislocation of lumbar vertebra,NB53.1
Dislocation of sacroiliac or sacrococcygeal joint without disruption of pelvic ring,NB53.2
Dislocation of other or unspecified parts of lumbar spine or pelvis without disruption of pelvic ring,NB53.3
Traumatic rupture of symphysis pubis without disruption of pelvic ring,NB53.4
Strain or sprain of lumbar spine,NB53.5
Strain or sprain of sacroiliac joint,NB53.6
Other specified dislocation or strain or sprain of joints or ligaments of lumbar spine or pelvis,NB53.Y
"Dislocation or strain or sprain of joints or ligaments of lumbar spine or pelvis, unspecified",NB53.Z
Concussion or oedema of lumbar spinal cord,NB60
Concussion or oedema of sacral spinal cord,NB61
Certain specified injuries of lumbar spinal cord,NB62
Complete lesion of lumbar spinal cord,NB62.0
Central cord syndrome of lumbar spinal cord,NB62.1
Anterior cord syndrome of lumbar spinal cord,NB62.2
Posterior cord syndrome of lumbar spinal cord,NB62.3
Brown-Sequard syndrome of lumbar spinal cord,NB62.4
Other incomplete cord syndrome of lumbar spinal cord,NB62.5
Puncture wound or laceration of dura mater of lumbar spinal cord,NB62.6
Certain specified injuries of sacral spinal cord,NB63
Complete injury of sacral spinal cord,NB63.0
Incomplete injury of sacral spinal cord,NB63.1
"Injury of sacral spinal cord, unspecified",NB63.Z
"Injury of spinal cord at abdomen, lower back or pelvis level, unspecified",NB6Z
Injury of nerve root of lumbar spine,NB70
Injury of nerve root of sacral spine,NB71
Injury of cauda equina,NB72
Injury of lumbosacral plexus,NB73
"Injury of lumbar, sacral or pelvic sympathetic nerves",NB74
"Injury of peripheral nerve of abdomen, lower back or pelvis",NB75
"Other specified injury of nerves at abdomen, lower back or pelvis level",NB7Y
"Injury of nerves at abdomen, lower back or pelvis level, unspecified",NB7Z
"Injury of blood vessels at abdomen, lower back or pelvis level",NB90
Injury of abdominal aorta,NB90.0
Injury of inferior vena cava,NB90.1
Injury of coeliac artery,NB90.2
Injury of mesenteric artery,NB90.3
Injury of portal or splenic vein,NB90.4
Injury of renal blood vessels,NB90.5
Injury of iliac blood vessels,NB90.6
"Injury of multiple blood vessels at abdomen, lower back or pelvis level",NB90.7
"Injury of other specified blood vessels at abdomen, lower back or pelvis level",NB90.Y
"Injury of unspecified blood vessel at abdomen, lower back or pelvis level",NB90.Z
Injury of intra-abdominal organs,NB91
Injury of spleen,NB91.0
Injury of liver,NB91.1
Injury of gallbladder,NB91.2
Injury of bile duct,NB91.3
Injury of pancreas,NB91.4
Injury of stomach,NB91.5
Injury of duodenum,NB91.6
Injury of small intestine,NB91.7
Injury of colon,NB91.8
Injury of rectum,NB91.9
Injury of mesentery,NB91.A
Injury of multiple intra-abdominal organs,NB91.B
Injury of other specified intra-abdominal organs,NB91.Y
"Injury of intra-abdominal organs, unspecified",NB91.Z
Injury of urinary or pelvic organs,NB92
Injury of kidney,NB92.0
Injury of ureter,NB92.1
Injury of bladder,NB92.2
Injury of urethra,NB92.3
Injury of ovary,NB92.4
Injury of fallopian tube,NB92.5
Injury of uterus,NB92.6
Injury of urinary tract,NB92.7
Injury of multiple pelvic organs,NB92.8
Injury of other specified pelvic organs,NB92.Y
"Injury of urinary or pelvic organs, unspecified",NB92.Z
"Crushing injury or traumatic amputation of part of abdomen, lower back or pelvis",NB93
Crushing injury of external genital organs,NB93.0
"Crushing injury of other or unspecified parts of abdomen, lower back or pelvis",NB93.1
Traumatic amputation of external genital organs,NB93.2
"Traumatic amputation of other or unspecified parts of abdomen, lower back or pelvis",NB93.3
"Injury of muscle, fascia or tendon of abdomen, lower back or pelvis",NB94
"Strain or sprain of muscle, fascia or tendon of abdomen",NB94.0
"Strain or sprain of muscle, fascia or tendon of lower back",NB94.1
"Strain or sprain of muscle, fascia or tendon of pelvis",NB94.2
"Laceration of muscle, fascia or tendon of abdomen",NB94.3
"Laceration of muscle, fascia or tendon of lower back",NB94.4
"Laceration of muscle, fascia or tendon of pelvis",NB94.5
"Other specified injury of muscle, fascia or tendon of abdomen, lower back or pelvis",NB94.Y
"Injury of muscle, fascia or tendon of abdomen, lower back or pelvis, unspecified",NB94.Z
Injury of intra-abdominal organ with pelvic organ,NB95
"Other multiple injuries of abdomen, lower back or pelvis",NB96
"Certain specified injuries of abdomen, lower back or pelvis",NB97
Retroperitoneal haemorrhage or haematoma,NB97.0
Fractured penis,NB97.1
Injury to female genital organ without further specification,NB98
Injury to male genital organ without further specification,NB99
"Other specified injuries to the abdomen, lower back, lumbar spine or pelvis",NB9Y
"Injuries to the abdomen, lower back, lumbar spine or pelvis, unspecified",NB9Z
Superficial injury of shoulder or upper arm,NC10
Abrasion of shoulder or upper arm,NC10.0
Contusion of shoulder or upper arm,NC10.1
Multiple superficial injuries of shoulder or upper arm,NC10.2
Other specified superficial injury of shoulder or upper arm,NC10.Y
"Superficial injury of shoulder or upper arm, unspecified",NC10.Z
Open wound of shoulder or upper arm,NC11
Laceration without foreign body of shoulder or upper arm,NC11.0
Laceration with foreign body of shoulder or upper arm,NC11.1
Puncture wound without foreign body of shoulder or upper arm,NC11.2
Puncture wound with foreign body of shoulder or upper arm,NC11.3
Open bite of shoulder or upper arm,NC11.4
Multiple open wounds of shoulder or upper arm,NC11.5
Other specified open wound of shoulder or upper arm,NC11.Y
"Open wound of shoulder or upper arm, unspecified",NC11.Z
Fracture of shoulder or upper arm,NC12
Fracture of clavicle,NC12.0
Fracture of scapula,NC12.1
Fracture of upper end of humerus,NC12.2
Fracture of shaft of humerus,NC12.3
Fracture of lower end of humerus,NC12.4
"Multiple fractures of clavicle, scapula or humerus",NC12.5
Fracture of other parts of shoulder or upper arm,NC12.6
"Fracture of shoulder girdle, part unspecified",NC12.7
"Fracture of shoulder or upper arm, unspecified",NC12.Z
Dislocation or strain or sprain of joints or ligaments of shoulder girdle,NC13
Dislocation of shoulder joint,NC13.0
Dislocation of acromioclavicular joint,NC13.1
Dislocation of sternoclavicular joint,NC13.2
Dislocation of scapula,NC13.3
Dislocation of other or unspecified parts of shoulder girdle,NC13.4
Strain or sprain of shoulder joint,NC13.5
Strain or sprain of acromioclavicular joint,NC13.6
Strain or sprain of sternoclavicular joint,NC13.7
Strain or sprain of other or unspecified parts of shoulder girdle,NC13.8
Dislocation or sprain of other specified joints and ligaments of shoulder girdle,NC13.Y
"Dislocation or strain or sprain of joints or ligaments of shoulder girdle, unspecified",NC13.Z
Injury of nerves at shoulder or upper arm level,NC14
Injury of ulnar nerve at upper arm level,NC14.0
Injury of median nerve at upper arm level,NC14.1
Injury of radial nerve at upper arm level,NC14.2
Injury of axillary nerve,NC14.3
Injury of musculocutaneous nerve,NC14.4
Injury of cutaneous sensory nerve at shoulder or upper arm level,NC14.5
Injury of multiple nerves at shoulder or upper arm level,NC14.6
Injury of other specified nerves at shoulder or upper arm level,NC14.Y
Injury of unspecified nerve at shoulder or upper arm level,NC14.Z
Injury of blood vessels at shoulder or upper arm level,NC15
Injury of axillary artery,NC15.0
Injury of brachial artery,NC15.1
Injury of axillary or brachial vein,NC15.2
Injury of superficial vein at shoulder or upper arm level,NC15.3
Injury of multiple blood vessels at shoulder or upper arm level,NC15.4
Injury of other specified blood vessels at shoulder or upper arm level,NC15.Y
Injury of unspecified blood vessel at shoulder or upper arm level,NC15.Z
"Injury of muscle, fascia, tendon or bursa at shoulder or upper arm level",NC16
Injury of muscle or tendon of the rotator cuff of shoulder,NC16.0
"Injury of muscle, fascia or tendon of long head of biceps",NC16.1
"Injury of muscle, fascia or tendon of other parts of biceps",NC16.2
"Injury of muscle, fascia or tendon of triceps",NC16.3
Injury of multiple muscles or tendons at shoulder or upper arm level,NC16.4
Injury of bursa of shoulder,NC16.5
"Injury of other specified muscle, fascia, tendon or bursa at shoulder or upper arm level",NC16.Y
"Injury of unspecified muscle, fascia or tendon at shoulder or upper arm level",NC16.Z
Crushing injury of shoulder or upper arm,NC17
Traumatic amputation of shoulder or upper arm,NC18
Traumatic amputation at right shoulder joint,NC18.0
Traumatic amputation at left shoulder joint,NC18.1
"Traumatic amputation at shoulder joint, bilateral",NC18.2
Traumatic amputation at level between right shoulder and elbow,NC18.3
Traumatic amputation at level between left shoulder and elbow,NC18.4
"Traumatic amputation at level between shoulder and elbow, bilateral",NC18.5
"Traumatic amputation of shoulder or upper arm, unspecified",NC18.Z
Multiple injuries of shoulder or upper arm,NC19
Other specified injuries to the shoulder or upper arm,NC1Y
"Injuries to the shoulder or upper arm, unspecified",NC1Z
Superficial injury of forearm,NC30
Abrasion of elbow,NC30.0
Contusion of elbow,NC30.1
Abrasion of other or unspecified parts of forearm,NC30.2
Contusion of other or unspecified parts of forearm,NC30.3
Multiple superficial injuries of forearm,NC30.4
Other specified superficial injury of forearm,NC30.Y
"Superficial injury of forearm, unspecified",NC30.Z
Open wound of forearm,NC31
Laceration without foreign body of forearm,NC31.0
Laceration with foreign body of forearm,NC31.1
Puncture wound without foreign body of forearm,NC31.2
Puncture wound with foreign body of forearm,NC31.3
Open bite of forearm,NC31.4
Multiple open wounds of forearm,NC31.5
Other specified open wound of forearm,NC31.Y
"Open wound of forearm, unspecified",NC31.Z
Fracture of forearm,NC32
Fracture of upper end of ulna,NC32.0
Fracture of upper end of radius,NC32.1
Fracture of shaft of ulna,NC32.2
Fracture of shaft of radius,NC32.3
Fracture of shafts of both ulna and radius,NC32.4
Fracture of lower end of radius,NC32.5
Fracture of lower end of both ulna and radius,NC32.6
Multiple fractures of forearm,NC32.7
Fracture of other specified parts of forearm,NC32.Y
"Fracture of forearm, unspecified",NC32.Z
Dislocation or strain or sprain of joints or ligaments of elbow,NC33
Dislocation of radial head,NC33.0
Dislocation of elbow,NC33.1
Traumatic rupture of radial collateral ligament,NC33.2
Traumatic rupture of ulnar collateral ligament,NC33.3
Strain or sprain of elbow,NC33.4
Dislocation or sprain of other specified joints or ligaments of elbow,NC33.Y
"Dislocation or strain or sprain of joints or ligaments of elbow, unspecified",NC33.Z
Injury of nerves at forearm level,NC34
Injury of ulnar nerve at forearm level,NC34.0
Injury of median nerve at forearm level,NC34.1
Injury of radial nerve at forearm level,NC34.2
Injury of cutaneous sensory nerve at forearm level,NC34.3
Injury of multiple nerves at forearm level,NC34.4
Injury of other specified nerves at forearm level,NC34.Y
Injury of unspecified nerve at forearm level,NC34.Z
Injury of blood vessels at forearm level,NC35
Injury of ulnar artery at forearm level,NC35.0
Injury of radial artery at forearm level,NC35.1
Injury of vein at forearm level,NC35.2
Injury of multiple blood vessels at forearm level,NC35.3
Injury of other specified blood vessels at forearm level,NC35.Y
Injury of unspecified blood vessel at forearm level,NC35.Z
"Injury of muscle, fascia, tendon or bursa at forearm level",NC36
"Injury of flexor muscle, fascia or tendon of thumb at forearm level",NC36.0
"Injury of long flexor muscle, fascia or tendon of other finger at forearm level",NC36.1
"Injury of other flexor muscle, fascia or tendon at forearm level",NC36.2
Injury of extensor or abductor muscles or tendons of thumb at forearm level,NC36.3
"Injury of extensor muscle, fascia or tendon of other finger at forearm level",NC36.4
"Injury of other extensor muscle, fascia or tendon at forearm level",NC36.5
Injury of multiple muscles or tendons at forearm level,NC36.6
Injury of bursa of elbow,NC36.7
"Injury of other specified muscle, fascia, tendon or bursa at forearm level",NC36.Y
"Injury of unspecified muscle, fascia, tendon or bursa at forearm level",NC36.Z
Crushing injury of forearm,NC37
Crushing injury of elbow,NC37.0
Crushing injury of other specified part of forearm,NC37.Y
"Crushing injury of forearm, unspecified",NC37.Z
Traumatic amputation of forearm,NC38
Traumatic amputation at right elbow level,NC38.0
Traumatic amputation at left elbow level,NC38.1
"Traumatic amputation at elbow level, bilateral",NC38.2
Traumatic amputation at level between right elbow and wrist,NC38.3
Traumatic amputation at level between left elbow and wrist,NC38.4
"Traumatic amputation between elbow and wrist, bilateral",NC38.5
"Traumatic amputation of forearm, unspecified",NC38.Z
Multiple injuries of forearm,NC39
Other specified injuries to the elbow or forearm,NC3Y
"Injuries to the elbow or forearm, unspecified",NC3Z
Injury to fingernail,NC50
Superficial injury of wrist or hand,NC51
Superficial injury of finger or thumb,NC51.0
Superficial injury of other parts of wrist or hand,NC51.1
Multiple superficial injuries of wrist or hand,NC51.2
Open wound of wrist or hand,NC52
Open wound of finger or thumb,NC52.0
Open wound of other parts of wrist or hand,NC52.1
Multiple open wounds of wrist or hand,NC52.2
Fracture at wrist or hand level,NC53
Fracture of scaphoid bone of hand,NC53.0
Fracture of other carpal bone,NC53.1
Fracture of first metacarpal bone,NC53.2
Fracture of other metacarpal bone,NC53.3
Multiple fractures of metacarpal bones,NC53.4
Fracture of thumb bone,NC53.5
Fracture of other finger bone,NC53.6
Multiple fractures of fingers,NC53.7
Fracture at other specified part of wrist or hand level,NC53.Y
"Fracture at wrist or hand level, unspecified",NC53.Z
Dislocation or strain or sprain of joints or ligaments at wrist or hand level,NC54
Dislocation of wrist,NC54.0
Dislocation of thumb,NC54.1
Dislocation of finger,NC54.2
Multiple dislocations of fingers,NC54.3
Traumatic rupture of ligament of wrist or carpus,NC54.4
Traumatic rupture of ligament of finger at metacarpophalangeal or interphalangeal joint,NC54.5
Strain or sprain of wrist,NC54.6
Strain or sprain of thumb,NC54.7
Strain or sprain of finger,NC54.8
Dislocation or sprain of other specified joints or ligaments at wrist or hand level,NC54.Y
"Dislocation or strain or sprain of joints or ligaments at wrist or hand level, unspecified",NC54.Z
Injury of nerves at wrist or hand level,NC55
Injury of ulnar nerve at wrist or hand level,NC55.0
Injury of median nerve at wrist or hand level,NC55.1
Injury of radial nerve at wrist or hand level,NC55.2
Injury of multiple nerves at wrist or hand level,NC55.3
Injury of other specified nerves at wrist or hand level,NC55.Y
Injury of unspecified nerve at wrist or hand level,NC55.Z
Injury of blood vessels at wrist or hand level,NC56
Injury of ulnar artery at wrist or hand level,NC56.0
Injury of radial artery at wrist or hand level,NC56.1
Injury of superficial palmar arch,NC56.2
Injury of deep palmar arch,NC56.3
Injury of blood vessel of thumb,NC56.4
Injury of blood vessel of other finger,NC56.5
Injury of multiple blood vessels at wrist or hand level,NC56.6
Injury of other specified blood vessels at wrist and hand level,NC56.Y
Injury of unspecified blood vessel at wrist or hand level,NC56.Z
"Injury of muscle, fascia or tendon at wrist or hand level",NC57
"Injury of long flexor muscle, fascia or tendon of thumb at wrist or hand level",NC57.0
"Injury of flexor muscle, fascia or tendon of other finger at wrist or hand level",NC57.1
"Injury of extensor muscle, fascia or tendon of thumb at wrist or hand level",NC57.2
"Injury of extensor muscle, fascia or tendon of other finger at wrist or hand level",NC57.3
"Injury of intrinsic muscle, fascia or tendon of thumb at wrist or hand level",NC57.4
"Injury of intrinsic muscle, fascia or tendon of other finger at wrist or hand level",NC57.5
Injury of multiple flexor muscles or tendons at wrist or hand level,NC57.6
Injury of multiple extensor muscles or tendons at wrist or hand level,NC57.7
"Injury of other specified muscle, fascia or tendon at wrist or hand level",NC57.Y
"Injury of unspecified muscle, fascia or tendon at wrist or hand level",NC57.Z
Crushing injury of wrist or hand,NC58
Crushing injury of thumb,NC58.0
Crushing injury of other finger,NC58.1
Crushing injury of hand,NC58.2
Crushing injury of wrist,NC58.3
Crushing injury of other specified part of wrist or hand,NC58.Y
"Crushing injury of wrist or hand, unspecified",NC58.Z
Traumatic amputation of wrist or hand,NC59
Traumatic amputation of thumb,NC59.0
Traumatic amputation of other single finger,NC59.1
Traumatic amputation of two or more fingers alone,NC59.2
Combined traumatic amputation of finger with other parts of wrist or hand,NC59.3
Traumatic amputation of hand at metacarpal level,NC59.4
"Traumatic amputation of wrist or hand, unspecified",NC59.Z
Multiple injuries of wrist or hand,NC5A
Injury of multiple sites of hand,NC5A.0
Injury of multiple sites of wrist,NC5A.1
Other specified multiple injuries of wrist or hand,NC5A.Y
"Multiple injuries of wrist or hand, unspecified",NC5A.Z
Other specified injuries to the wrist or hand,NC5Y
"Injuries to the wrist or hand, unspecified",NC5Z
Superficial injury of hip or thigh,NC70
Abrasion of hip,NC70.0
Contusion of hip,NC70.1
Abrasion of thigh,NC70.2
Contusion of thigh,NC70.3
Multiple superficial injuries of hip or thigh,NC70.4
Other specified superficial injury of hip or thigh,NC70.Y
"Superficial injury of hip or thigh, unspecified",NC70.Z
Open wound of hip or thigh,NC71
Laceration without foreign body of hip or thigh,NC71.0
Laceration with foreign body of hip or thigh,NC71.1
Puncture wound without foreign body of hip or thigh,NC71.2
Puncture wound with foreign body of hip or thigh,NC71.3
Open bite of hip or thigh,NC71.4
Multiple open wounds of hip or thigh,NC71.5
Other specified open wound of hip or thigh,NC71.Y
"Open wound of hip or thigh, unspecified",NC71.Z
Fracture of femur,NC72
Fracture of head of femur,NC72.0
